Timestamp,Player IGN,CM Group,Kitasan Black LB in Account (Non-borrow),Super Creek LB in Account (Non-borrow),Select a round to fill data,R1D1 - Uma 1,R1D1 - Uma 1 Role,R1D1 - Uma 1 Running Style,R1D1 - Uma 2,R1D1 - Uma 2 Role,R1D1 - Uma 2 Running Style,R1D1 - Uma 3,R1D1 - Uma 3 Role,R1D1 - Uma 3 Running Style,R1D1 - No. of wins,R1D1 - No. of races played,R1D2 - Uma 1,R1D2 - Uma 1 Role,R1D2 - Uma 1 Running Style,R1D2 - Uma 2,R1D2 - Uma 2 Role,R1D2 - Uma 2 Running Style,R1D2 - Uma 3,R1D2 - Uma 3 Role,R1D2 - Uma 3 Running Style,R1D2 - No. of wins,R1D2 - No. of races played,Round 2 Group,R2D1 - Uma 1,R2D1 - Uma 1 Role,R2D1 - Uma 1 Running Style,R2D1 - Uma 2,R2D1 - Uma 2 Role,R2D1 - Uma 2 Running Style,R2D1 - Uma 3,R2D1 - Uma 3 Role,R2D1 - Uma 3 Running Style,R2D1 - No. of wins,R2D1 - No. of races played,R2D2 - Uma 1,R2D2 - Uma 1 Role,R2D2 - Uma 1 Running Style,R2D2 - Uma 2,R2D2 - Uma 2 Role,R2D2 - Uma 2 Running Style,R2D2 - Uma 3,R2D2 - Uma 3 Role,R2D2 - Uma 3 Running Style,R2D2 - No. of wins,R2D2 - No. of races played,Finals Group,FINALS - Uma 1,FINALS - Uma 1 Role,FINALS - Uma 1 Running Style,FINALS - Uma 2,FINALS - Uma 2 Role,FINALS - Uma 2 Running Style,FINALS - Uma 3,FINALS - Uma 3 Role,FINALS - Uma 3 Running Style,FINALS RESULTS,How much have you spent on the game so far? (EUR/USD),R1D1 - Uma 1 Role (Norm),R1D1 - Uma 2 Role (Norm),R1D1 - Uma 3 Role (Norm),R1D2 - Uma 1 Role (Norm),R1D2 - Uma 2 Role (Norm),R1D2 - Uma 3 Role (Norm),R2D1 - Uma 1 Role (Norm),R2D1 - Uma 2 Role (Norm),R2D1 - Uma 3 Role (Norm),R2D2 - Uma 1 Role (Norm),R2D2 - Uma 2 Role (Norm),R2D2 - Uma 3 Role (Norm),FINALS - Uma 1 Role (Norm),FINALS - Uma 2 Role (Norm),FINALS - Uma 3 Role (Norm),R1D1 - Uma 1 Running Style (Norm),R1D1 - Uma 2 Running Style (Norm),R1D1 - Uma 3 Running Style (Norm),R1D2 - Uma 1 Running Style (Norm),R1D2 - Uma 2 Running Style (Norm),R1D2 - Uma 3 Running Style (Norm),R2D1 - Uma 1 Running Style (Norm),R2D1 - Uma 2 Running Style (Norm),R2D1 - Uma 3 Running Style (Norm),R2D2 - Uma 1 Running Style (Norm),R2D2 - Uma 2 Running Style (Norm),R2D2 - Uma 3 Running Style (Norm),FINALS - Uma 1 Running Style (Norm),FINALS - Uma 2 Running Style (Norm),FINALS - Uma 3 Running Style (Norm)
2025-11-09 08:43:21.736,Lim,Graded (No Limit),MLB,MLB,End Survey,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,18.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,17.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,16.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,12.0,20.0,A,Gold Ship,Aoharu Made Ace,End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,1ST,$101-$500,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer
2025-11-09 06:53:03.387,Cherry,Graded (No Limit),1LB,2LB,End Survey,Mejiro McQueen,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,10.0,20.0,Mejiro McQueen,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,11.0,15.0,A,Mejiro McQueen,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,11.0,15.0,Mejiro McQueen,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,14.0,15.0,A,Mejiro McQueen,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Gold City,"Ace (Winner, Tanks, Recycled Aces)",End Closer,1ST,$1-$100,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Pace Chaser,Front Runner,End Closer,Pace Chaser,Front Runner,End Closer,Pace Chaser,Front Runner,End Closer,Pace Chaser,Front Runner,End Closer,Pace Chaser,Front Runner,End Closer
2025-11-06 22:32:55.112,Onichan,Graded (No Limit),MLB,3LB,End Survey,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Mihono Bourbon,Sacrifice,Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,7.0,15.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Mihono Bourbon,Sacrifice,Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,8.0,15.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Mihono Bourbon,Sacrifice,Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,8.0,15.0,,,,,,,,,,,,,,,,,,,,,,NAN,$101-$500,Ace,Other,Ace,Ace,Other,Ace,Ace,Other,Ace,,,,,,,Front Runner,Front Runner,End Closer,Front Runner,Front Runner,End Closer,Front Runner,Front Runner,End Closer,,,,,,
2025-11-04 22:45:36.849,vedgie,Graded (No Limit),0LB,1LB,End Survey,Narita Taishin,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Tokai Teio (Anime Collab),Hybrid,Pace Chaser,Nice Nature,Debuffer,Late Surger,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAN,$101-$500,Ace,Debuffer,Debuffer,,,,,,,,,,,,,End Closer,Pace Chaser,Late Surger,,,,,,,,,,,,
2025-11-09 06:12:01.318,kvadrat,Graded (No Limit),MLB,MLB,End Survey,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Narita Taishin,Troll Pick / Lazy,End Closer,Nice Nature,Debuffer,Late Surger,11.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Nice Nature,Debuffer,Late Surger,Narita Taishin,Troll Pick / Lazy,End Closer,10.0,20.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Narita Taishin,Troll Pick / Lazy,End Closer,Nice Nature,Debuffer,Late Surger,9.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Narita Taishin,Troll Pick / Lazy,End Closer,Nice Nature,Debuffer,Late Surger,7.0,20.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Nice Nature,Debuffer,Late Surger,Narita Taishin,Troll Pick / Lazy,End Closer,3RD,$1000++,Ace,Other,Debuffer,Ace,Debuffer,Other,Ace,Other,Debuffer,Ace,Other,Debuffer,Ace,Debuffer,Other,Front Runner,End Closer,Late Surger,Front Runner,Late Surger,End Closer,Front Runner,End Closer,Late Surger,Front Runner,End Closer,Late Surger,Front Runner,Late Surger,End Closer
2025-11-09 14:47:52.955,Nemo,Graded (No Limit),,0LB,End Survey,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,6.0,15.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,2.0,5.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,Late Surger,8.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,Late Surger,7.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,Late Surger,2ND,F2P,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger
2025-11-09 08:33:29.411,Eyefizz13,Graded (No Limit),0LB,,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,12.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,7.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,7.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,2.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,1ST,$101-$500,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Pace Chaser,Pace Chaser,End Closer,Pace Chaser,Pace Chaser,End Closer,Pace Chaser,Pace Chaser,End Closer,Pace Chaser,Pace Chaser,End Closer,Pace Chaser,Pace Chaser,End Closer
2025-11-09 09:04:44.465,rexie,Graded (No Limit),MLB,2LB,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Troll Pick / Lazy,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,15.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Troll Pick / Lazy,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,13.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Troll Pick / Lazy,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,13.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Troll Pick / Lazy,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,12.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Troll Pick / Lazy,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,1ST,F2P,Ace,Other,Ace,Ace,Other,Ace,Ace,Other,Ace,Ace,Other,Ace,Ace,Other,Ace,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer
2025-11-09 20:16:23.234,Tappu,Graded (No Limit),MLB,0LB,End Survey,Meisho Doto,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Super Creek,Hybrid,Pace Chaser,Nice Nature,Debuffer,Late Surger,16.0,20.0,Meisho Doto,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Super Creek,Hybrid,Pace Chaser,Nice Nature,Debuffer,Pace Chaser,14.0,20.0,A,Meisho Doto,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Super Creek,Hybrid,Pace Chaser,Nice Nature,Debuffer,Late Surger,14.0,20.0,Meisho Doto,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Super Creek,Hybrid,Pace Chaser,Daiwa Scarlet,Blocker,Front Runner,14.0,20.0,A,Meisho Doto,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Super Creek,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Daiwa Scarlet,Blocker,Front Runner,2ND,$101-$500,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Other,Ace,Ace,Other,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Pace Chaser,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Front Runner,Pace Chaser,Pace Chaser,Front Runner
2025-11-08 07:45:28.710,GMO,Graded (No Limit),0LB,,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,16.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,14.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,14.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,13.0,20.0,,,,,,,,,,,NAN,F2P,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,,,,Pace Chaser,End Closer,Late Surger,Pace Chaser,End Closer,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,,,
2025-11-09 10:27:58.237,DontwannaOmega,Graded (No Limit),MLB,MLB,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Special Week (Summer),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,18.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Special Week (Summer),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,15.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Special Week (Summer),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,Late Surger,13.0,20.0,Oguri Cap,Aoharu Made Ace,Pace Chaser,Special Week (Summer),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,Late Surger,14.0,20.0,A,Oguri Cap,Aoharu Made Ace,Pace Chaser,Special Week (Summer),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,Late Surger,1ST,$1000++,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Late Surger
2025-11-07 20:14:52.952,Xearomis,Graded (No Limit),2LB,2LB,End Survey,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Silence Suzuka,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Nice Nature,Debuffer,Late Surger,16.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Silence Suzuka,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Nice Nature,Debuffer,Late Surger,12.0,20.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Silence Suzuka,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Symboli Rudolf,Debuffer,End Closer,15.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Silence Suzuka,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Symboli Rudolf,Debuffer,End Closer,12.0,20.0,,,,,,,,,,,NAN,F2P,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,,,,Front Runner,Front Runner,Late Surger,Front Runner,Front Runner,Late Surger,Front Runner,Front Runner,End Closer,Front Runner,Front Runner,End Closer,,,
2025-11-09 07:10:26.505,Batista,Graded (No Limit),MLB,0LB,End Survey,TM Opera O,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,20.0,20.0,TM Opera O,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,17.0,20.0,A,TM Opera O,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,13.0,20.0,TM Opera O,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,17.0,20.0,A,TM Opera O,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,2ND,$101-$500,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Late Surger,Pace Chaser,Pace Chaser,Late Surger
2025-11-09 09:21:08.282,Yuu,Graded (No Limit),0LB,0LB,End Survey,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Nice Nature,Debuffer,Late Surger,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,17.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,14.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,15.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,13.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,1ST,F2P,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,End Closer,Late Surger,Pace Chaser,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer
2025-11-09 14:32:31.789,Lilisu,Graded (No Limit),MLB,1LB,End Survey,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,19.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,18.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,15.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,14.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,Late Surger,1ST,F2P,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger
2025-11-09 12:00:57.109,Akinari,Graded (No Limit),1LB,1LB,End Survey,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Nice Nature,Debuffer,Late Surger,Agnes Tachyon,Hybrid,Pace Chaser,5.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Agnes Tachyon,Hybrid,Pace Chaser,Nice Nature,Debuffer,Late Surger,6.0,20.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Agnes Tachyon,Hybrid,Pace Chaser,Nice Nature,Debuffer,Late Surger,4.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Agnes Tachyon,Hybrid,Pace Chaser,Nice Nature,Debuffer,Late Surger,7.0,20.0,A,Maruzensky (Summer),Aoharu Made Ace,Front Runner,Agnes Tachyon,Hybrid,Pace Chaser,Nice Nature,Debuffer,Late Surger,1ST,$101-$500,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Front Runner,Late Surger,Pace Chaser,Front Runner,Pace Chaser,Late Surger,Front Runner,Pace Chaser,Late Surger,Front Runner,Pace Chaser,Late Surger,Front Runner,Pace Chaser,Late Surger
2025-11-09 21:16:46.848,Haru,Graded (No Limit),MLB,2LB,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,Grass Wonder,Debuffer,Late Surger,15.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,Grass Wonder,Debuffer,Late Surger,15.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,Grass Wonder,Debuffer,Late Surger,13.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,Grass Wonder,Debuffer,Late Surger,14.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Nice Nature,Debuffer,Late Surger,Grass Wonder,Debuffer,Late Surger,2ND,$101-$500,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger,Pace Chaser,Late Surger,Late Surger
2025-11-09 06:06:29.297,RavenCorp,Graded (No Limit),0LB,MLB,End Survey,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Special Week,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mejiro Ryan,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,14.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Special Week,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mejiro Ryan,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,14.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Special Week,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mejiro Ryan,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,9.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Special Week,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mejiro Ryan,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,10.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Special Week,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mejiro Ryan,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,2ND,$1-$100,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger,End Closer,Pace Chaser,Late Surger
